Course,Term,Number,Type,Status,ID,Date
MAT2611,2023/0,1,assignment,Closed,332663,2023-04-14
COS2661,2023/0,1,quiz,Closed,218852,2023-04-21
APM2613,2023/0,1,quiz,Closed,773178,2023-04-21
COS2601,2023/0,1,quiz,Closed,529201,2023-04-24
MAT2611,2023/0,2,assignment,Closed,332691,2023-04-28
MAT2613,2023/0,1,assignment,Closed,688316,2023-05-08
COS2611,2023/0,1,quiz,Closed,744381,2023-05-11
MAT2611,2023/0,3,assignment,Closed,332896,2023-05-15
MAT2615,2023/0,1,assignment,Closed,823949,2023-05-23
MAT2612,2023/0,1,assignment,Closed,839378,2023-05-23
APM2611,2023/0,1,assignment,Closed,547463,2023-05-24
COS2614,2023/0,1,assignment,Closed,322799,2023-05-26
MAT2611,2023/0,4,assignment,Closed,332962,2023-05-29
APM2613,2023/0,2,assignment,Closed,773203,2023-05-30
COS2601,2023/0,2,assignment,Closed,531630,2023-06-12
MAT2611,2023/0,5,assignment,Closed,332964,2023-06-15
APM2611,2023/0,2,assignment,Closed,547562,2023-06-15
COS2661,2023/0,2,assignment,Closed,220989,2023-06-23
MAT2615,2023/0,2,assignment,Closed,638799,2023-06-26
MAT2611,2023/0,6,assignment,Closed,333101,2023-06-30
APM2613,2023/0,3,assignment,Closed,773262,2023-07-11
MAT2611,2023/0,7,assignment,Closed,370690,2023-07-14
COS2611,2023/0,2,assignment,Closed,744411,2023-07-19
MAT2611,2023/0,8,assignment,Closed,370841,2023-07-28
MAT2615,2023/0,3,assignment,Closed,638900,2023-07-31
COS2601,2023/0,3,assignment,Closed,532530,2023-07-31
COS2614,2023/0,2,quiz,Closed,744077,2023-07-31
MAT2613,2023/0,2,assignment,Closed,688375,2023-08-01
MAT2612,2023/0,2,assignment,Closed,792200,2023-08-08
APM2611,2023/0,3,assignment,Closed,547640,2023-08-10
MAT2611,2023/0,9,assignment,Closed,370843,2023-08-11
APM2613,2023/0,4,quiz,Closed,773362,2023-08-23
MAT2611,2023/0,10,assignment,Closed,370956,2023-08-25
MAT2615,2023/0,4,assignment,Closed,638945,2023-08-28
COS2661,2023/0,3,assignment,Closed,221343,2023-08-31
COS2614,2023/0,3,assignment,Closed,744224,2023-08-31
COS2611,2023/0,3,quiz,Closed,744419,2023-09-15
APM2611,2023/0,4,assignment,Closed,741927,2023-09-21
COS2614,2023/0,4,quiz,Closed,744246,2023-09-22
COS2601,2023/0,4,quiz,Closed,532851,2023-09-26
MAT2613,2023/0,3,quiz,Closed,867521,2023-09-29
COS2614,2023/0,5,quiz,Closed,744309,2023-10-20
